date,state,lat_1,u_1,lat_2,u_2,interjet_min
2020-07-14,double,36.5,17.59018967368386,60.75,22.3470476323908,8.234657721085982
2020-07-15,single,53.5,18.399178418246183,,,
2020-07-16,single,55.5,18.326908284967597,,,
2020-07-17,double,37.5,17.495448892766778,57.5,20.19804642417214,11.034553787925027
2020-07-18,double,37.0,17.6700514013117,58.0,15.90286922454834,9.476815657182174
2020-07-19,single,42.0,18.888322483409535,,,
2020-07-20,single,50.5,18.68179529363459,,,
2020-07-21,single,49.5,23.528545379638672,,,
2020-07-22,single,50.0,29.297575690529563,,,
2020-07-23,single,48.25,32.65276336669922,,,
2020-07-24,single,49.0,32.65967230363326,,,
2020-07-25,single,48.75,32.86613845825195,,,
2020-07-26,single,49.25,33.76605779474432,,,
2020-07-27,single,50.5,29.985591368241742,,,
2020-07-28,single,49.25,30.024371407248758,,,
2020-07-29,single,49.25,27.57338454506614,,,
2020-07-30,single,53.5,26.236834612759676,,,
2020-07-31,single,48.5,24.31595195423473,,,
2020-08-01,single,47.5,29.265166716142133,,,
2020-08-02,single,46.0,24.492501518943094,,,
2020-08-03,single,57.5,28.719920938665215,,,
2020-08-04,single,55.75,30.692623485218395,,,
2020-08-05,single,53.75,22.124561483209785,,,
2020-08-06,single,63.25,18.36265043778853,,,
2020-08-07,single,50.0,20.066174940629438,,,
2020-08-08,single,47.5,19.416288549249824,,,
2020-08-09,single,65.0,17.62935586409135,,,
2020-08-10,double,37.0,15.9532358863137,58.75,18.493610382080078,10.172605254433371
2020-08-11,double,35.5,16.886028289794922,62.75,19.42044917019931,7.826729731126265
2020-08-12,single,63.75,20.532534686001863,,,
2020-08-13,double,39.75,16.623549374667082,66.5,24.643069007179953,-3.0132127675143154
2020-08-14,double,42.5,19.201523520729758,66.0,30.258026296442207,-0.027658866041085937
2020-08-15,double,42.25,23.591211318969727,68.0,32.6101658561013,-0.33327285979281773
2020-08-16,double,43.75,28.76608761874112,71.25,19.486625497991387,-0.2045930972830816
2020-08-17,double,43.0,29.469449303366922,72.5,22.74873768199574,-2.5409533977508545
